iter	RMSE
0	11654.60806
1	11651.94669
2	11648.11563
3	11643.35852
4	11639.54054
5	11636.64356
6	11633.622797	11878.40069
8	11873.29068
99	11419.7163310	11865.06234
11	11863.34919
12	11862.5606
13	11859.7095
14	11855.94317
15	11851.9649
16	11848.92696
17	11847.23439
1818	11390.42676
19	11388.38837
20	11385.69869
21	11384.35351
22	11382.32923
23	11377.02808
24	11373.99897
225	11573.81275226	11569.9534
27	11366.74703
28	11365.33135
29	11359.85581
30	11357.84938
31	11355.38327
32	11353.61661
33	11349.80208
34	11347.65668
35	11343.88914
36	11342.98515
37	11341.46883
38	11340.09762
39	11339.11943
40	11336.47739
41	11331.50911
42	11329.96493
43	11328.13119
44	11325.99715
45	11324.62255
46	11322.13187
47	11320.40615
48	11317.42842
49	11313.73248
50	11311.96752
51	11310.23744
52	11306.56232
53	11303.32334
54	11300.3874
55	11299.48342
56	11297.8816
57	11296.16638
58	11291.42002
59	11288.72169
60	11285.29137
61	11281.77981
62	11280.56843
63	11278.29992
64	11277.43579
65	11275.21412
66	11273.34792
67	11272.16078
68	11270.83618
69	11269.04429
70	11267.11562
71	11263.55423
72	11262.13629
73	11260.1206
74	11259.2642
75	11255.75216
76	11253.56448
77	11250.75553
78	11249.49457
79	11247.827
80	11245.01354
81	11241.23597
82	11239.71267
83	11236.31151
84	11235.38766
85	11234.21425
86	11233.99107
87	11231.63092
88	11227.85054
89	11226.03177
90	11222.10956
91	11218.74035
92	11217.60619
93	11216.43692
94	11214.66856
95	11213.31376
96	11212.70772
97	11211.57316
98	11206.66861
99	11205.04368
100	11204.63373
101	11201.80814
102	11200.09546
103	11196.82573
104	11196.097
105	11193.77811
106	11191.59474
107	11186.84454
108	11185.85833
109	11183.37662
110	11181.13786
111	11180.45779
112	11174.72209
113	11172.64154
114	11170.12108
115	11166.20739
116	11165.66662
117	11164.89495
118	11163.94632
119	11162.20238
120	11160.09356
121	11156.71067
122	11153.74638
123	11153.16364
124	11151.62413
125	11149.70579
126	11147.56085
127	11145.11548
128	11143.49584
129	11143.07925
130	11140.72741
131	11138.33505
132	11136.68257
133	11134.36857
134	11133.34469
135	11131.11136
136	11129.89578
137	11128.69818
138	11125.35474
139	11124.0335
140	11122.91455
141	11121.72555
142	11119.07989
143	11117.55716
144	11114.2411
145	11112.57941
146	11110.98916
147	11109.446
148	11107.93171
149	11106.76957
150	11104.07404
151	11103.3754
152	11101.00605
153	11100.07356
154	11099.21339
155	11096.58835
156	11094.16458
157	11089.92711
158	11087.40294
159	11086.82342
160	11085.81514
161	11085.20923
162	11082.41827
163	11080.06807
164	11078.37651
165	11076.42391
166	11074.7798
167	11072.74475
168	11069.86713
169	11068.5982
170	11065.16371
171	11064.43443
172	11062.46441
173	11061.48366
174	11059.5884
175	11057.54439
176	11055.17767
177	11053.60876
178	11051.2166
179	11049.5024
180	11047.26068
181	11046.03089
182	11042.87704
183	11040.89749
184	11038.4294
185	11036.6446
186	11034.39234
187	11032.1882
188	11029.02268
189	11027.38539
190	11026.41858
191	11024.51422
192	11023.48953
193	11020.76999
194	11017.38525
195	11015.21923
196	11014.25203
197	11012.34742
198	11008.78571
199	11005.77768
200	11004.1744
201	11001.75127
202	11000.49647
203	10997.99667
204	10995.01636
205	10991.80173
206	10990.34613
207	10987.19974
208	10984.8483
209	10981.06174
210	10979.97958
211	10977.30346
212	10975.43735
213	10972.98004
214	10971.84184
215	10969.14007
216	10968.65582
217	10966.02419
218	10964.86631
219	10962.42786
220	10961.53596
221	10959.03539
222	10956.98941
223	10953.97524
224	10952.28328
225	10948.24836
226	10946.21535
227	10944.58309
228	10943.98535
229	10942.20531
230	10940.38689
231	10939.32474
232	10938.06842
233	10935.30041
234	10934.44308
235	10931.15235
236	10929.04279
237	10926.1518
238	10924.09539
239	10922.20656
240	10920.6787
241	10919.48563
242	10916.75722
243	10913.88985
244	10910.9387
245	10906.7198
246	10903.17383
247	10900.88765
248	10897.65699
249	10896.49311
250	10893.9192
251	10892.15976
252	10891.34131
253	10890.01626
254	10889.36415
255	10887.80545
256	10886.06257
257	10883.58954
258	10881.58221
259	10880.01244
260	10879.05525
261	10876.10108
262	10874.00162
263	10870.36019
264	10869.28089
265	10867.00934
266	10864.73174
267	10863.1213
268	10860.91137
269	10858.79225
270	10853.82943
271	10852.37389
272	10851.08536
273	10848.12457
274	10845.30875
275	10844.04831
276	10842.62015
277	10840.82615
278	10838.46565
279	10836.47709
280	10835.36408
281	10832.92
282	10830.87273
283	10828.68015
284	10827.80267
285	10826.22877
286	10824.0807
287	10821.47233
288	10819.75804
289	10816.29581
290	10814.72433
291	10813.05466
292	10811.32964
293	10810.11809
294	10808.62762
295	10806.85008
296	10805.29266
297	10804.14476
298	10802.42102
299	10801.06826
300	10798.10448
301	10793.93812
302	10790.63491
303	10788.25147
304	10787.29464
305	10785.86246
306	10782.78447
307	10780.64534
308	10778.63041
309	10776.46609
310	10775.59736
311	10774.33697
312	10773.37929
313	10770.4412
314	10769.64677
315	10768.24233
316	10766.05382
317	10763.38114
318	10762.18334
319	10760.14858
320	10758.99118
321	10755.51951
322	10754.61768
323	10753.4326
324	10750.68825
325	10747.76124
326	10747.34077
327	10745.73833
328	10744.67292
329	10743.50646
330	10743.16282
331	10742.35345
332	10742.20658
333	10740.41461
334	10739.56662
335	10738.42211
336	10737.36162
337	10735.12582
338	10734.83561
339	10733.26011
340	10731.31585
341	10729.05049
342	10726.91034
343	10723.89604
344	10722.04806
345	10720.30148
346	10717.68176
347	10716.5169
348	10713.30978
349	10711.3875
350	10711.07356
351	10708.63525
352	10707.46339
353	10706.4114
354	10704.47767
355	10702.53868
356	10700.37144
357	10699.37403
358	10699.12592
359	10698.44456
360	10694.50969
361	10692.94975
362	10691.11205
363	10688.15491
364	10687.89553
365	10686.66109
366	10685.04226
367	10683.6852
368	10683.03512
369	10682.09811
370	10678.4742
371	10676.75197
372	10674.77973
373	10673.29986
374	10672.10958
375	10671.38944
376	10669.00732
377	10668.23304
378	10666.85126
379	10665.02439
380	10664.73175
381	10663.79257
382	10661.35493
383	10660.49318
384	10658.61791
385	10657.97619
386	10656.93556
387	10654.96792
388	10652.22662
389	10650.77177
390	10649.77244
391	10648.34293
392	10646.7184
393	10644.85565
394	10643.25918
395	10641.87677
396	10639.10041
397	10637.77214
398	10634.5716
399	10631.55523
400	10630.38426
401	10627.94095
402	10626.05984
403	10624.19735
404	10622.77438
405	10621.12821
406	10619.80063
