iter	Passed	Remaining
0	76	76565
1	81	40500
2	87	29018
3	91	22816
4	96	19192
5	101	1673766	105	14987	124	15489
8	129	14251
99	131	1300010	167	15099
11	172	14183
12	175	13308
13	179	12666
14	184	12123
15	189	11668
16	194	11221
17	198	10817
118	203	10488
19	207	10181
20	212	9924
21	217	9677
22	222	9439
23	227	24	2324	232	25	244	9142
26	256	9251
27	2627	266	28	2728	288	9647
29	302	9777
30	316	9883
31	335	10162
32	355	10421
33	365	10388
34	377	10419
35	398	10684
36	421	10966
37	444	11263
38	463	11422
39	485	11662
40	518	12139
41	536	12241
42	540	12038
43	587	12772
44	599	12728
45	611	12681
46	640	12984
47	667	13239
48	702	13635
49	725	13793
50	734	13661
51	765	13962
52	778	13909
53	803	14078
54	820	14094
55	838	14127
56	895	14819
57	921	14963
58	938	14975
59	949	14868
60	956	14717
61	969	14671
62	995	14811
63	1008	14747
64	1015	14609
65	1026	14525
66	1042	14516
67	1046	14346
68	1068	14413
69	1089	14474
70	1097	14358
71	1108	14293
72	1114	14152
73	1121	14036
74	1127	13899
75	1151	14001
76	1187	14232
77	1221	14440
78	1228	14316
79	1232	14172
80	1238	14046
81	1255	14058
82	1261	13931
83	1265	13799
84	1270	13674
85	1274	13547
86	1278	13419
87	1284	13310
88	1293	13236
89	1299	13137
90	1305	13044
91	1314	12970
92	1320	12877
93	1328	12804
94	1333	12699
95	1344	12664
96	1351	12585
97	1359	12513
98	1365	12429
99	1376	12387
100	1381	12298
101	1385	12201
102	1390	12109
103	1397	12037
104	1407	11995
105	1415	11934
106	1418	11835
107	1423	11760
108	1434	11725
109	1454	11772
110	1464	11729
111	1469	11648
112	1478	11604
113	1488	11566
114	1493	11496
115	1508	11493
116	1527	11525
117	1538	11497
118	1544	11435
119	1563	11467
120	1592	11568
121	1601	11523
122	1605	11447
123	1619	11442
124	1635	11446
125	1645	11413
126	1651	11354
127	1662	11323
128	1678	11329
129	1717	11494
130	1739	11540
131	1749	11504
132	1760	11475
133	1764	11406
134	1768	11332
135	1780	11311
136	1785	11245
