iter	Logloss
0	0.6801901438
1	0.6702413691
2	0.6584730943
3	0.6459998488
4	0.6340839254
5	0.62363268
6	0.612053354
7	0.6008867802
8	0.5907211896
9	0.5817112177
10	0.5728180547
11	0.5640092164
12	0.5541166916
13	0.5494080895
14	0.5402854634
15	0.5309666333
16	0.5221965956
17	0.5141704831
18	0.5062217013
19	0.4985548746
20	0.4909499883
21	0.483994085
22	0.4764370134
23	0.4704017437
24	0.4633846095
25	0.4568734529
26	0.450727366
27	0.4461337029
28	0.4402130726
29	0.4338884407
30	0.4275642283
31	0.4217374945
32	0.4166343873
33	0.4122870437
34	0.4076264896
35	0.4043409023
36	0.3985227147
37	0.3934208283
38	0.3886954852
39	0.3838618718
40	0.3792997162
41	0.3745255904
42	0.3695679652
43	0.3652648079
44	0.3626587882
45	0.3581264369
46	0.3541618971
47	0.3502927143
48	0.3463525773
49	0.3422397873
50	0.3406626766
51	0.336963248
52	0.3336335504
53	0.3299057209
54	0.3261604757
55	0.3231988526
56	0.3204508904
57	0.3169132608
58	0.314216734
59	0.3112741408
60	0.3083045471
61	0.3052607383
62	0.3019920265
63	0.2992834108
64	0.2964675311
65	0.2937672032
66	0.2922078011
67	0.2895531282
68	0.2868170811
69	0.2850747228
70	0.2829724905
71	0.2807572708
72	0.2786488246
73	0.2764094379
74	0.2750798401
75	0.2729887688
76	0.2718050842
77	0.2698820341
78	0.2681244387
79	0.2667083424
80	0.2648605334
81	0.2631332261
82	0.2609351548
83	0.259814594
84	0.2583246742
85	0.2568055905
86	0.2552973812
87	0.2541064693
88	0.2525450109
89	0.2510729532
90	0.2497457729
91	0.2487478972
92	0.2475048226
93	0.2462728056
94	0.2451929083
95	0.2439707685
96	0.2434625874
97	0.2427200061
98	0.2414797416
99	0.2406670371
100	0.2398276049
101	0.2391173686
102	0.2381006881
103	0.2368351692
104	0.2361187496
105	0.2349291274
106	0.2341199975
107	0.2330403185
108	0.2316434034
109	0.2304892699
110	0.2295457191
111	0.2289272562
112	0.2279483921
113	0.2270565586
114	0.2258933549
115	0.2247108644
116	0.2241026141
117	0.2229701198
118	0.2222466556
119	0.2218436101
120	0.2205534583
121	0.22000859
122	0.2194856695
123	0.2188568912
124	0.21837991
125	0.2174275096
126	0.2170456805
127	0.2166263888
128	0.2162487229
129	0.2152433652
130	0.2146075512
131	0.2139498236
132	0.213528012
133	0.2131550723
134	0.2125535158
135	0.2122796775
136	0.2117056147
137	0.2110894641
138	0.2105223512
139	0.2100263903
140	0.2096787294
141	0.2092024133
142	0.2088053908
143	0.2085615326
144	0.2077369693
145	0.2072354838
146	0.2069163037
147	0.206456064
148	0.2057306628
149	0.2050490711
150	0.2043269643
151	0.2040788856
152	0.2037683341
153	0.2033899501
154	0.20301486
155	0.2021944721
156	0.2019610254
157	0.2015611378
158	0.2011648145
159	0.2007419944
160	0.2004303144
161	0.1998359531
162	0.1994243326
163	0.1990370842
164	0.1987584962
165	0.1984634391
166	0.1980731681
167	0.1975905865
168	0.1969140759
169	0.1965788181
170	0.1962404463
171	0.1958586939
172	0.1955949332
173	0.19521604
174	0.1949792244
175	0.1946337829
176	0.194230508
177	0.193928754
178	0.1936316625
179	0.193180287
180	0.1928885589
181	0.1920683936
182	0.191980281
183	0.1915429324
184	0.1911557421
185	0.1909356774
186	0.1907124698
187	0.1903787181
188	0.1901663099
189	0.189713219
190	0.1892278581
191	0.1889228925
192	0.188592413
193	0.1883160853
194	0.1880976841
195	0.1878697986
196	0.1876466387
197	0.1875010862
198	0.187243738
199	0.1866939473
200	0.1863066435
201	0.1858704892
202	0.1854814205
203	0.1851974507
204	0.1848882406
205	0.1845841556
206	0.1843674928
207	0.1840073457
208	0.1837566514
209	0.1835193666
210	0.183280055
211	0.1830233333
212	0.1827807744
213	0.1824884392
214	0.1822252819
215	0.181930688
216	0.1817721488
217	0.1815386636
218	0.1812393232
219	0.181022254
220	0.1808050741
221	0.1805654301
222	0.180334793
223	0.1801280762
224	0.1799010286
225	0.1796809936
226	0.1794261325
227	0.1792781288
228	0.1790040489
229	0.1786955657
230	0.1784962402
231	0.1783359128
232	0.1780608419
233	0.1778124497
234	0.1776138828
235	0.1774032375
236	0.1771964621
237	0.1769365636
238	0.1767166249
239	0.1765207489
240	0.176303286
241	0.1761333952
242	0.1759326851
243	0.1756917481
244	0.17531139
245	0.1751262834
246	0.1748117755
247	0.1745911535
248	0.174254805
249	0.1741208242
250	0.1738287359
251	0.173588354
252	0.1733412937
253	0.1730763063
254	0.1728011304
255	0.1725431415
256	0.1723085665
257	0.1720028083
258	0.1717772394
259	0.1715226197
260	0.1712865035
261	0.1710209904
262	0.1708574049
263	0.1705509309
264	0.1703039169
265	0.1700438025
266	0.1698268947
267	0.1695990675
268	0.1694389842
269	0.1692569878
270	0.1690511497
271	0.1688392801
272	0.1685604452
273	0.1682287226
274	0.1680866883
275	0.1679305491
276	0.1677883594
277	0.1673546597
278	0.1671205676
279	0.1667743434
280	0.1665707842
281	0.166291705
282	0.1661206537
283	0.165857502
284	0.1656721401
285	0.1655013949
286	0.1652231316
287	0.164977031
288	0.164827143
289	0.1646000963
290	0.1644043029
291	0.1642587095
292	0.1641229623
293	0.1639133338
294	0.1637116534
295	0.1633815299
296	0.1630581977
297	0.1628248243
298	0.1626914658
299	0.1624927819
300	0.1623308671
301	0.1621833363
302	0.1619003092
303	0.1616775156
304	0.1614705063
305	0.1612328754
306	0.1611500206
307	0.1609558082
308	0.1607150673
309	0.1605444342
310	0.1604016551
311	0.1601997859
312	0.1600508941
313	0.1600293914
314	0.1598668998
315	0.1596372613
316	0.1594582575
317	0.159291302
318	0.159104048
319	0.1589595688
320	0.158753393
321	0.1586400588
322	0.1584594963
323	0.1582931417
324	0.1580890262
325	0.1579310889
326	0.1577940287
327	0.1576517644
328	0.1574179103
329	0.1571904013
330	0.1570822533
331	0.156910436
332	0.1567179935
333	0.1565125663
334	0.1563835865
335	0.1562433041
336	0.1560379503
337	0.1559216787
338	0.1557817596
339	0.1555023479
340	0.1553218354
341	0.1550176885
342	0.1548994148
