iter	Passed	Remaining
0	4	4606
1	8	4327
2	13	4376
3	17	4266
4	21	4249
5	25	4149
6	29	4186
7	33	4131
8	37	4127
9	42	4159
10	46	4174
11	51	4199
12	55	4187
13	59	4199
14	63	4197
15	68	4188
16	72	4176
17	76	4158
18	80	4131
19	84	4123
20	88	4114
21	92	4098
22	96	4092
23	100	4079
24	104	4060
25	108	4051
26	112	4046
27	115	4024
28	119	4008
29	123	3995
30	127	3980
31	131	3964
32	134	3952
33	138	3944
34	143	3946
35	147	3955
36	151	3952
37	155	3940
38	159	3933
39	163	3920
40	167	3916
41	171	3904
42	175	3899
43	178	3888
44	182	3882
45	186	3878
46	191	3883
47	195	3878
48	199	3881
49	204	3882
50	208	3881
51	212	3875
52	216	3872
53	220	3868
54	224	3862
55	229	3863
56	232	3852
57	236	3849
58	240	3841
59	245	3849
60	250	3850
61	253	3842
62	257	3835
63	261	3829
64	266	3834
65	271	3836
66	275	3831
67	279	3832
68	283	3824
69	287	3819
70	292	3824
71	296	3824
72	300	3819
73	304	3814
74	308	3810
75	313	3806
76	318	3813
77	322	3808
78	326	3804
79	330	3799
80	334	3793
81	338	3791
82	342	3784
83	346	3779
84	350	3776
85	354	3768
86	358	3763
87	362	3759
88	366	3754
89	370	3747
90	374	3741
91	379	3742
92	383	3740
93	387	3737
94	391	3731
95	395	3726
96	399	3721
97	403	3715
98	407	3710
99	411	3706
100	415	3698
101	419	3693
102	423	3691
103	428	3687
104	432	3683
105	436	3677
106	439	3671
107	444	3669
108	448	3664
109	452	3658
110	456	3653
111	459	3646
112	463	3642
113	467	3633
114	471	3627
115	475	3623
116	479	3617
117	483	3611
118	487	3606
119	491	3601
120	494	3594
121	498	3590
122	502	3585
123	506	3580
124	511	3578
125	515	3575
126	519	3572
127	523	3568
128	527	3564
129	533	3568
130	537	3567
131	542	3565
132	546	3562
133	550	3556
134	554	3552
135	558	3548
136	563	3550
137	567	3546
138	572	3544
139	576	3539
140	580	3534
141	583	3527
142	587	3522
143	591	3517
144	595	3510
145	599	3504
146	602	3498
147	606	3491
148	610	3485
149	613	3478
150	617	3472
151	621	3465
152	624	3459
153	628	3455
154	634	3459
155	638	3453
156	642	3447
157	645	3439
158	649	3436
159	653	3430
160	657	3425
161	660	3418
162	664	3412
163	668	3406
164	671	3399
165	675	3394
166	679	3391
167	683	3387
168	687	3381
169	691	3375
170	694	3368
171	698	3362
172	701	3355
173	705	3348
174	708	3341
175	712	3334
176	715	3327
177	718	3320
178	722	3313
179	725	3306
180	729	3299
181	732	3292
182	735	3283
183	739	3277
184	742	3271
185	745	3264
186	749	3258
187	753	3252
188	756	3247
189	760	3241
190	763	3235
191	767	3230
192	770	3223
193	774	3218
194	778	3212
195	781	3206
196	785	3200
197	789	3196
198	792	3190
199	796	3184
200	799	3179
201	803	3174
202	807	3169
203	810	3163
204	814	3157
205	817	3151
206	820	3144
207	823	3136
208	827	3130
209	830	3124
210	833	3117
211	837	3111
212	840	3104
213	843	3098
214	846	3092
215	850	3086
216	853	3080
217	856	3073
218	859	3066
219	863	3060
220	866	3054
221	869	3048
222	873	3042
223	876	3036
224	880	3031
225	883	3025
226	886	3019
227	890	3014
228	893	3008
229	896	3002
230	900	2997
231	903	2991
232	906	2984
233	910	2979
234	913	2974
235	917	2969
236	920	2964
237	924	2958
238	927	2953
239	931	2948
240	934	2943
241	937	2937
242	941	2932
243	944	2926
244	948	2921
245	951	2915
246	954	2910
247	957	2904
248	960	2898
249	964	2892
250	967	2887
251	971	2883
252	974	2878
253	978	2873
254	981	2868
255	985	2863
256	988	2858
257	992	2854
258	995	2849
259	999	2844
260	1003	2840
261	1006	2835
262	1010	2830
263	1013	2825
264	1017	2820
265	1020	2815
266	1024	2811
267	1027	2806
268	1030	2801
269	1034	2797
270	1037	2791
271	1041	2786
272	1044	2782
273	1048	2777
274	1051	2773
275	1055	2769
276	1059	2764
277	1062	2759
278	1065	2754
279	1069	2749
280	1072	2744
281	1075	2739
282	1079	2734
283	1082	2728
284	1085	2723
285	1089	2718
286	1092	2713
287	1095	2708
288	1098	2703
289	1102	2698
290	1106	2696
291	1110	2691
292	1113	2686
293	1116	2681
294	1119	2676
295	1123	2671
296	1126	2666
297	1129	2661
298	1133	2656
299	1136	2651
300	1139	2646
301	1143	2642
302	1146	2637
303	1149	2632
304	1153	2628
305	1156	2623
306	1160	2618
307	1163	2614
308	1167	2609
309	1170	2604
310	1173	2600
311	1177	2596
312	1181	2592
313	1183	2584
314	1186	2580
315	1189	2575
316	1193	2571
317	1196	2566
318	1200	2562
319	1203	2557
320	1206	2553
321	1210	2548
322	1213	2543
323	1216	2539
324	1220	2534
325	1223	2530
326	1227	2525
